stopid;Freq
0;3091
10439;1
14040;24
25888;936
44469;644
56566;3658
56776;1269
74328;17
74397;426
97629;32
97667;51
97668;7
97669;7
97670;1
97671;55
97672;1
97673;37
97674;1
97677;12
97679;4
97680;2
97681;34
97683;16
97684;2
97685;67
97686;14
97687;87
97699;46
97701;17
97702;3
97703;182
97704;4
97705;4
97708;12
97709;108
97710;216
97713;436
97714;2
97715;167
97716;4
97717;35
97719;5
97720;1106
97777;49
97778;75
98469;49
98471;464
98472;34
98480;48
98484;238
98488;169
98489;64
98492;469
98493;229
98497;43
98499;6
98500;177
98501;163
98502;147
98503;44
98504;123
98505;29
98506;64
98507;7
98508;102
98509;2
98697;272
98698;173
98699;557
98700;29
98701;179
98702;214
98703;32
98704;27
98705;47
98706;116
98707;35
98708;184
98709;33
98710;102
98711;27
98712;13
98713;77
98714;4
98715;19
98716;7
98717;23
98718;4
98719;27
98720;1
98721;23
98723;108
98724;1
98725;46
98727;35
98728;4
98729;108
98730;1
98733;139
98735;171
98736;2
98737;17
98738;7
98739;25
98740;43
98741;42
98742;16
98743;67
98744;25
98745;116
98746;31
98747;92
98748;18
98749;44
98750;52
98751;31
98752;28
98753;113
98754;39
98755;66
98756;64
98757;58
98758;99
98759;9
98760;46
98761;6
98762;56
98763;27
98764;74
98765;24
98766;55
98767;48
98768;8
98769;4
98770;26
98771;356
98773;9
98774;8
98775;201
98777;171
98778;3
98780;11
98781;75
98782;2
98783;1
98787;1
98788;8
98789;1
98800;1
101006;26
101007;8
101011;1
101013;134
101014;1
101018;11
101028;62
101029;2
101030;57
101031;16
101032;45
101033;15
101034;2
101036;86
101038;22
101041;1
101046;114
101047;1
101048;819
101049;11
101051;1007
101052;23
101053;139
101054;26
101055;13
101057;792
101058;746
101059;685
101062;41
101063;43
101067;16
101068;1
101071;1
101072;2
101075;1
101076;38
101079;1
101080;178
101082;129
101083;25
101084;51
101085;1
101086;77
101087;11
101088;8
101089;41
101090;5
101092;5
101093;6
101095;3
101096;1
101097;3
101099;1
101101;4
101102;1
101103;1
101104;2
101110;2
101112;1
101113;6
101115;2
101117;7
101119;3
101120;8
101122;1
101124;24
101126;1
101128;8
101131;11
101133;3
101219;23
101220;2
101221;11
101222;16
101223;1
101225;34
101226;205
101227;5
101228;3
101229;2
101230;2
101231;11
101233;1
101239;58
101242;143
101244;5
101260;2
101261;8
101263;16
101265;19
101266;2
101267;5
101268;2
101269;1
101270;26
101272;27
101273;34
101274;5
101275;21
101276;5
101277;55
101278;73
101279;31
101280;4
101281;31
101282;19
101283;153
101284;28
101286;64
101287;47
101288;27
101289;15
101290;1
101291;31
101293;89
101297;157
101298;4
101299;3
101300;4
101301;8
101305;163
101310;4
101312;81
101314;9
101315;12
101316;1
101317;12
101318;4
101319;1
101320;5
101493;32
101494;106
101495;1
101496;38
101498;66
101500;163
101501;5
101502;109
101503;3
101504;21
101505;3
101506;1
101507;55
101508;51
101509;33
101510;24
101511;86
101512;1077
101513;1928
101514;2727
101515;264
101516;773
101517;301
101518;885
101519;15
101520;197
101521;112
101522;475
101523;115
101524;71
101525;58
101526;72
101527;132
101528;186
101529;801
101530;748
101531;74
101532;314
101533;248
101534;158
101536;132
101537;172
101538;111
101539;112
101540;1238
101541;2436
101542;313
101543;232
101545;1499
101546;28
101547;1359
101548;273
101549;1045
101550;1566
101551;106
101553;92
101554;972
101555;86
101558;121
101559;86
101567;2116
101568;869
101570;15
101574;35
101575;7
101576;5
101577;1
101578;6
