lineid;Freq
1;8526
2;116937
3;72202
4;44071
7;41408
8;24863
9;41777
10;39702
11;10726
14;11143
15;25889
17;71
20;32334
21;1789
22;7421
23;9452
25;2718
26;2752
29;905
34;5114
35;12104
36;4922
38;1792
39;109
44;638
51;14433
52;22072
53;2915
54;969
56;342
57;1127
58;3241
71;68
101;218
103;37
104;10726
105;4126
106;1118
107;6077
151;146
201;11134
202;599
204;624
211;755
221;221
231;9452
232;2287
233;534
234;4278
261;622
292;79
353;23336
354;298
361;296
381;34
382;38
383;1854
384;18
385;7595
386;1
387;1698
388;373
401;257
403;358
404;11092
405;178
412;3153
414;9372
415;52
441;63793
442;289
521;674
531;74
532;845
533;2733
562;2429
563;1582
564;148
566;104
567;785
581;65
582;69
593;281
594;657
882;67
991;784
994;96
995;22
9001;596
9002;468
9003;568
9004;623
9005;602
9006;59
9016;119
9017;141
9018;114
9021;76
9023;3236
9026;17
